LOCATION_NUMBER,ADDRESS_LINE_ONE,ADDRESS_LINE_TWO,ADDRESS_LINE_THREE,CITY,STATE,ZIP_CODE,COUNTRY
10,2055 WEST STREET,SUITE 10,,GERMANTOWN,TN,38138,USA
12,2125 STONERIDGE MALL,SPACE B210,,PLEASANTON,CA,94588,USA
14,91-5431 KAPOLEI PARKWAY,SUITE #101,,KAPOLEI,HI,96707,USA
16,2502 EAST CAMELBACK RD,SPACE 148,,PHOENIX,AZ,85016,USA
18,VALLEY FAIR - WESTSIDE SHP CTR,2855 STEVENS CREEK BLVD,SUITE 1067,SANTA CLARA,CA,950506709,USA
20,3333 BRISTOL ST,SUITE #2800,,COSTA MESA,CA,92626,USA
22,14006 RIVERSIDE DRIVE,SUITE 75,,SHERMAN OAKS,CA,91423,USA
24,338 W HILLCREST DR,,,THOUSAND OAKS,CA,913604295,USA
26,1244 THIRD STREET PROMENADE,,,SANTA MONICA,CA,90401,USA
28,HILLSDALE SHOPPING CENTER,60 - 31ST AVE,SPACE #1016,SAN MATEO,CA,94403,USA
30,1570 S. DISNEYLAND DRIVE,SUITE 101,,ANAHEIM,CA,92802,USA
32,6801 HOLLYWOOD BLVD,SPACE B2-245,,HOLLYWOOD,CA,90028,USA
34,13 W. COLORADO BOULEVARD,,,PASADENA,CA,91103,USA
36,7007 FRIARS RD,SUITE 314,,SAN DIEGO,CA,92108,USA
38,4545 LA JOLLA VILLAGE DR,SUITE C-16,,SAN DIEGO,CA,92122,USA
40,13915 S VIRGINIA ST,SUITE 110,,RENO,NV,89511,USA
42,3377 LAS VEGAS BLVD SOUTH,SUITE 1001,,LAS VEGAS,NV,89109,USA
44,796 TOWN & COUNTRY BLVD,SUITE 109,,HOUSTON,TX,77024,USA
46,MIRACLE MILE,3663 LAS VEGAS BLVD SOUTH,SUITE 140,LAS VEGAS,NV,89109,USA
48,355 STANFORD SHOPPING CENTER,,,PALO ALTO,CA,94304,USA
50,1689 ARDEN WAY,SPACE #1084,,SACRAMENTO,CA,95815,USA
52,1205 BURLINGAME,,,BURLINGAME,CA,94010,USA
54,MISSION VIEJO,27000 CROWN VALLEY PKWY,UNIT 498,MISSION VIEJO,CA,92691,USA
56,BEVERLY CENTER,8500 BEVERLY BLVD.,STORE #724,LOS ANGELES,CA,90048,USA
